Generating adversarial samples for the model ..
Test: [0/100]   Time 2.660 (2.660)      Acc@1 11.00 (11.00)     Acc@5 33.00 (33.00)
Test: [10/100]  Time 1.603 (1.847)      Acc@1 11.00 (13.82)     Acc@5 30.00 (31.18)
Test: [20/100]  Time 1.601 (1.812)      Acc@1 11.00 (12.57)     Acc@5 31.00 (30.14)
Test: [30/100]  Time 1.607 (1.794)      Acc@1 17.00 (12.35)     Acc@5 31.00 (30.77)
Test: [40/100]  Time 1.604 (1.786)      Acc@1 11.00 (12.46)     Acc@5 31.00 (30.95)
Test: [50/100]  Time 1.603 (1.780)      Acc@1 11.00 (12.16)     Acc@5 30.00 (30.90)
Test: [60/100]  Time 1.599 (1.775)      Acc@1 7.00 (12.03)      Acc@5 20.00 (30.49)
Test: [70/100]  Time 1.607 (1.771)      Acc@1 15.00 (12.18)     Acc@5 27.00 (30.34)
Test: [80/100]  Time 1.605 (1.769)      Acc@1 12.00 (12.30)     Acc@5 34.00 (30.43)
Test: [90/100]  Time 1.604 (1.766)      Acc@1 16.00 (12.13)     Acc@5 38.00 (30.33)
******Acc@1 12.090 Acc@5 30.430
